MOVIE TITLE,RELEASE YEAR,RUNTIME,IMDB RATING,IMDB VOTES,WORLDWIDE GROSS,ESTIMATED BUDGET,PROFIT,MOVIE REVIEW
Avengers: Endgame,2019,181,8.4,748670,2797800564,356000000,2441800564,1
Avengers: Infinity War,2018,149,8.4,792818,2048709917,321000000,1727709917,0
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,741462,1341511219,125000000,1216511219,0
The Lord of the Rings: The Return of the King,2003,201,8.9,1600809,1119929521,94000000,1025929521,0
Joker,2019,122,8.5,842794,1074251311,55000000,1019251311,0
Jurassic Park,1993,127,8.1,902597,1029153882,63000000,966153882,0
The Lion King,1994,88,8.5,977800,968483777,45000000,923483777,0
Toy Story 3,2010,103,8.3,738152,1068879522,200000000,868879522,0
Finding Nemo,2003,100,8.1,926000,936743261,94000000,842743261,1
The Dark Knight Rises,2012,164,8.4,1476788,1084939099,250000000,834939099,0
The Lord of the Rings: The Two Towers,2002,179,8.7,1446565,926047111,94000000,832047111,1
The Dark Knight,2008,152,9,2235487,1004558444,185000000,819558444,1
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,1616442,871530324,93000000,778530324,0
Star Wars: Episode IV - A New Hope,1977,121,8.6,1201831,775398007,11000000,764398007,0
Inside Out,2015,95,8.1,590815,857611174,175000000,682611174,1
Inception,2010,148,8.8,1994355,825532764,160000000,665532764,0
The Sixth Sense,1999,107,8.1,892662,672806292,40000000,632806292,1
Coco,2017,105,8.4,350108,807082196,175000000,632082196,0
Forrest Gump,1994,142,8.8,1891012,677945399,55000000,622945399,1
Up,2009,96,8.2,909295,731342744,175000000,556342744,1
The Lost World: Jurassic Park,1997,129,6.6,392359,618638999,73000000,545638999,0
Logan,2017,137,8.1,625437,619021436,97000000,522021436,1
Home Alone,1990,103,7.6,505064,533800000,18000000,515800000,1
Interstellar,2014,169,8.6,1442468,675020017,165000000,510020017,1
Men in Black,1997,98,7.3,532718,589390539,90000000,499390539,0
Aladdin,1992,90,8,385140,504050219,28000000,476050219,0
Jaws,1975,124,8,561484,470653000,8000000,462653000,1
Pretty Woman,1990,119,7,302048,463406268,14000000,449406268,0
The Last Supper,1995,92,6.8,14540,463406268,14000000,449406268,1
Jane Eyre,1996,112,6.8,9374,463406268,14000000,449406268,0
"Monsters, Inc.",2001,92,8,793280,562816256,115000000,447816256,1
Mrs. Doubtfire,1993,125,7,254341,441286195,25000000,416286195,0
Snow White and the Seven Dwarfs,1937,83,7.6,188614,418200000,2000000,416200000,0
Saving Private Ryan,1998,169,8.6,1200775,481840909,70000000,411840909,1
Twister,1996,113,6.4,185777,494471524,92000000,402471524,0
Maya Lin: A Strong Clear Vision,1994,105,7.4,479,494471524,92000000,402471524,0
Dances with Wolves,1990,181,8,249044,424200000,22000000,402200000,0
The Matrix,1999,136,8.7,1628084,463517383,63000000,400517383,1
Beauty and the Beast,1991,84,8,426837,424967620,25000000,399967620,1
Gone with the Wind,1939,238,8.1,300142,400176459,3977000,396199459,0
Grease,1978,110,7.2,251751,394955690,6000000,388955690,0
Mission: Impossible,1996,110,7.1,400708,457696359,80000000,377696359,1
Batman,1989,126,7.5,350024,411348924,35000000,376348924,0
Raiders of the Lost Ark,1981,115,8.4,863621,389925971,18000000,371925971,1
Back to the Future,1985,116,8.5,1105235,381109762,19000000,362109762,1
WALL·E,2008,98,8.4,972534,534767889,180000000,354767889,1
Gladiator,2000,155,8.5,1304930,457640427,103000000,354640427,1
Toy Story,1995,81,8.3,921693,373554033,30000000,343554033,1
Top Gun,1986,110,6.9,308722,356830601,15000000,341830601,0
The Mask,1994,101,6.9,360482,351583407,18000000,333583407,0
How to Train Your Dragon,2010,98,8.1,650100,494878759,165000000,329878759,1
Django Unchained,2012,165,8.4,1314316,425368238,100000000,325368238,1
The Fugitive,1993,130,7.8,277393,368875760,44000000,324875760,0
Speed,1994,116,7.2,342753,350448145,30000000,320448145,0
Gone Girl,2014,149,8.1,830718,369330363,61000000,308330363,1
Basic Instinct,1992,127,7,187791,352700000,49000000,303700000,0
Apollo 13,1995,140,7.6,279162,355237933,52000000,303237933,0
Catch Me If You Can,2002,141,8.1,797411,352114312,52000000,300114312,1
Green Book,2018,130,8.2,338783,322720649,23000000,299720649,0
Se7en,1995,127,8.6,1398169,327311859,33000000,294311859,1
GoldenEye,1995,130,7.2,244568,352194034,60000000,292194034,0
The Wolf of Wall Street,2013,180,8.2,1137603,392000694,100000000,292000694,1
Spider-Man: Into the Spider-Verse,2018,117,8.4,332891,375540831,90000000,285540831,0
The Sound of Music,1965,172,8,215064,286214286,8200000,278014286,0
1917,2019,119,8.3,356182,368027644,100000000,268027644,1
Ghost,1990,127,7.1,204430,290000000,22000000,268000000,0
True Lies,1994,141,7.2,246491,378882411,115000000,263882411,0
The Rock,1996,136,7.4,321608,335062621,75000000,260062621,0
Liar Liar,1997,86,6.9,291388,302710615,45000000,257710615,0
Spirited Away,2001,125,8.6,624110,274925095,19000000,255925095,1
A Beautiful Mind,2001,135,8.2,825704,313542341,58000000,255542341,1
The Hunchback of Notre Dame,1996,91,7,147529,325338851,70000000,255338851,0
The Full Monty,1997,91,7.2,102098,257938649,3500000,254438649,0
The Silence of the Lambs,1991,118,8.6,1323198,272742922,19000000,253742922,1
101 Dalmatians,1996,103,5.7,107081,320689294,75000000,245689294,1
Four Weddings and a Funeral,1994,117,7.1,144798,245700832,4400000,241300832,0
The Godfather,1972,175,9.2,1693761,245066411,6000000,239066411,1
Inglourious Basterds,2009,153,8.3,1226512,313600000,75000000,238600000,1
Casper,1995,100,6.1,126132,287928194,50000000,237928194,0
Gran Torino,2008,116,8.1,705741,269958228,33000000,236958228,1
Air Force One,1997,124,6.5,186620,315156409,85000000,230156409,0
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1129708,247916602,18000000,229916602,1
Ransom,1996,121,6.7,122182,309492681,80000000,229492681,0
Bean,1997,89,6.5,100678,251212670,22000000,229212670,0
Mad Max: Fury Road,2015,120,8.1,853945,378436354,150000000,228436354,1
The Firm,1993,154,6.8,125826,270248367,42000000,228248367,0
The Green Mile,1999,189,8.6,1109319,286801374,60000000,226801374,1
Batman Begins,2005,140,8.2,1274636,374218673,150000000,224218673,1
Babe,1995,91,6.8,120203,254134910,30000000,224134910,0
Rocky,1976,120,8.1,505197,225000000,960000,224040000,1
Jerry Maguire,1996,139,7.3,250662,273552592,50000000,223552592,0
Gattaca,1997,106,7.8,288512,257938649,36000000,221938649,0
The Nutty Professor,1996,95,5.6,113127,273961019,54000000,219961019,0
Good Will Hunting,1997,126,8.3,894884,225933435,10000000,215933435,1
Shutter Island,2010,138,8.2,1092728,294804195,80000000,214804195,1
Terminator 2: Judgment Day,1991,137,8.5,1028410,315000000,102000000,213000000,1
Jumanji,1995,104,7,321036,262797249,50000000,212797249,0
American Beauty,1999,122,8.3,1047150,226200000,15000000,211200000,0
Howl's Moving Castle,2004,119,8.2,317521,235184110,24000000,211184110,0
Life Is Beautiful,1997,116,8.6,604006,229163264,20000000,209163264,1
Pulp Fiction,1994,154,8.9,1896750,213928762,8000000,205928762,1
Priest,1994,105,7.1,9998,213928762,8000000,205928762,0
The Truman Show,1998,103,8.1,982015,264118201,60000000,204118201,1
Chungking Express,1994,102,8.1,70364,264118201,60000000,204118201,0
The Departed,2006,151,8.5,1156918,289847354,90000000,199847354,1
Schindler's List,1993,195,8.9,1258969,221000000,22000000,199000000,0
